date,downloads
2021-09-25,115012
2021-09-24,204163
2021-09-23,221114
2021-09-22,229599
2021-09-21,228482
2021-09-20,139207
2021-09-19,56335
2021-09-18,114464
2021-09-17,218764
2021-09-16,231588
2021-09-15,230093
2021-09-14,234101
2021-09-13,142634
2021-09-12,61656
2021-09-11,121486
2021-09-10,216300
2021-09-09,231233
2021-09-08,219399
2021-09-07,168813
2021-09-06,141167
2021-09-05,60854
2021-09-04,106249
2021-09-03,207839
2021-09-02,227639
2021-09-01,229238
2021-08-31,223169
2021-08-30,140663
2021-08-29,54264
2021-08-28,112474
2021-08-27,208687
2021-08-26,222801
2021-08-25,225021
2021-08-24,240952
2021-08-23,150294
2021-08-22,55136
2021-08-21,108152
2021-08-20,211635
2021-08-19,211961
2021-08-18,208273
2021-08-17,207539
2021-08-16,126901
2021-08-15,46407
2021-08-14,101894
2021-08-13,191868
2021-08-12,208761
2021-08-11,209813
2021-08-10,216834
2021-08-09,117181
2021-08-08,47905
2021-08-07,103911
2021-08-06,202213
2021-08-05,208205
2021-08-04,213531
2021-08-03,209173
2021-08-02,138047
2021-08-01,50707
2021-07-31,108879
2021-07-30,197901
2021-07-29,209066
2021-07-28,216986
2021-07-27,227900
2021-07-26,135495
2021-07-25,49937
2021-07-24,117797
2021-07-23,225980
2021-07-22,246839
2021-07-21,216857
2021-07-20,222004
2021-07-19,130302
2021-07-18,47183
2021-07-17,null
2021-07-13,254928
2021-07-12,142236
2021-07-11,57160
2021-07-10,126144
2021-07-09,216544
2021-07-08,241743
2021-07-07,225663
2021-07-06,171705
2021-07-05,124720
2021-07-04,49157
2021-07-03,119130
2021-07-02,218668
2021-07-01,249751
2021-06-30,246438
2021-06-29,246387
2021-06-28,156063
2021-06-27,60953
2021-06-26,134522
2021-06-25,226549
2021-06-24,244862
2021-06-23,244528
2021-06-22,234112
2021-06-21,128743
2021-06-20,48709
2021-06-19,90711
2021-06-18,200327
2021-06-17,206129
2021-06-16,212252
2021-06-15,211968
2021-06-14,131145
2021-06-13,49671
2021-06-12,110115
2021-06-11,208579
2021-06-10,225180
2021-06-09,230961
2021-06-08,220754
2021-06-07,142177
2021-06-06,52365
2021-06-05,107381
2021-06-04,199266
2021-06-03,219321
2021-06-02,219295
2021-06-01,163959
2021-05-31,124206
2021-05-30,48855
2021-05-29,92859
2021-05-28,190442
2021-05-27,217072
2021-05-26,232637
2021-05-25,223669
2021-05-24,127438
2021-05-23,52439
2021-05-22,107736
2021-05-21,207438
2021-05-20,230090
2021-05-19,230559
2021-05-18,234301
2021-05-17,145448
2021-05-16,51888
2021-05-15,166502
2021-05-14,204905
2021-05-13,217975
2021-05-12,240345
2021-05-11,231954
2021-05-10,146580
2021-05-09,54756
2021-05-08,117086
2021-05-07,226109
2021-05-06,249107
2021-05-05,196822
2021-05-04,194932
2021-05-03,111951
2021-05-02,53371
2021-05-01,119231
2021-04-30,202305
2021-04-29,211811
2021-04-28,206808
2021-04-27,201012
2021-04-26,137705
2021-04-25,51633
2021-04-24,113374
2021-04-23,209244
2021-04-22,224885
2021-04-21,210321
2021-04-20,225889
2021-04-19,152071
2021-04-18,52847
2021-04-17,114248
2021-04-16,221355
2021-04-15,226522
2021-04-14,212385
2021-04-13,217969
2021-04-12,134764
2021-04-11,46395
2021-04-10,116399
2021-04-09,213494
2021-04-08,226384
2021-04-07,225914
2021-04-06,231625
2021-04-05,108280
2021-04-04,51000
2021-04-03,100416
