pre_release,version,downloads_count
5.0,1.5.2,720
5.0,1.5.12,3850
5.0,1.5.11,633
5.0,1.5.10,177
5.0,1.5.1,5388
5.0,1.5,2175
5.0,1.4.9,177
5.0,1.4.8,239
5.0,1.4.7,167
5.0,1.4.6,311
5.0,1.4.5,58057
5.0,1.4.4,165
5.0,1.4.3,1423
5.0,1.4.22,10857
5.0,1.4.21,324
5.0,1.4.20,185
5.0,1.4.2,856
5.0,1.4.19,207
5.0,1.4.18,209
5.0,1.4.17,290
5.0,1.4.16,613
5.0,1.4.15,315
5.0,1.4.14,160
5.0,1.4.13,27004
5.0,1.4.12,164
5.0,1.4.11,1035
5.0,1.4.10,360
5.0,1.4.1,2215
5.0,1.4,4197
5.0,1.3.7,1971
5.0,1.3.6,184
5.0,1.3.5,158
5.0,1.3.4,280
5.0,1.3.3,180
5.0,1.3.2,137
5.0,1.3.1,1361
5.0,1.3,1860
5.0,1.2.7,328
5.0,1.2.6,133
5.0,1.2.5,1462
5.0,1.2.4,495
5.0,1.2.3,575
5.0,1.2.2,252
5.0,1.2.1,410
5.0,1.2,217621
5.0,1.11rc1,260
5.0,1.11b1,158
5.0,1.11a1,163
5.0,1.11.9,2223
5.0,1.11.8,2170
5.0,1.11.7,25127
5.0,1.11.6,7292
5.0,1.11.5,6379
5.0,1.11.4,9583
5.0,1.11.3,34836
5.0,1.11.29,519459
5.0,1.11.28,167249
5.0,1.11.27,6047
5.0,1.11.26,5010
5.0,1.11.25,1656
5.0,1.11.24,1623
5.0,1.11.23,13934
5.0,1.11.22,5034
5.0,1.11.21,2197
5.0,1.11.20,9784
5.0,1.11.2,22994
5.0,1.11.19,8
5.0,1.11.18,2091
5.0,1.11.17,17286
5.0,1.11.16,4062
5.0,1.11.15,5711
5.0,1.11.14,2248
5.0,1.11.13,4810
5.0,1.11.12,2107
5.0,1.11.11,3001
5.0,1.11.10,7196
5.0,1.11.1,36543
5.0,1.11,284605
5.0,1.10rc1,361
5.0,1.10b1,2320
5.0,1.10a1,338
5.0,1.10.8,13761
5.0,1.10.7,2091
5.0,1.10.6,2408
5.0,1.10.5,4019
5.0,1.10.4,2806
5.0,1.10.3,10678
5.0,1.10.2,3235
5.0,1.10.1,2542
5.0,1.10,6197
5.0,1.1.4,324
5.0,1.1.3,7366
pre_release,version,downloads_count
4.2,4.2rc1,12538
4.2,4.2b1,25383
4.2,4.2a1,28561
4.2,4.1rc1,1374
4.2,4.1b1,590
4.2,4.1a1,726
4.2,4.1.7,3213957
